iter	Passed	Remaining
0	0	975
1	1	865
2	2	819
3	3	795
4	3	755
5	4	739
6	5	720
7	5	710
8	6	703
9	6	690
10	7	681
11	8	676
12	8	669
13	9	664
14	10	661
15	10	658
16	11	660
17	12	661
18	12	656
19	13	657
20	14	653
21	14	651
22	15	650
23	15	645
24	16	642
25	17	642
26	17	640
27	18	635
28	18	631
29	19	630
30	20	630
31	20	626
32	21	625
33	21	625
34	22	622
35	23	620
36	23	619
37	24	616
38	24	614
39	25	613
40	26	611
41	26	609
42	27	609
43	27	607
44	28	606
45	29	603
46	29	602
47	30	601
48	30	600
49	31	602
50	32	605
51	33	606
52	34	608
53	34	609
54	35	611
55	36	613
56	37	615
57	38	617
58	38	618
59	39	619
60	40	621
61	41	622
62	41	624
63	42	623
64	43	622
65	43	620
66	44	618
67	45	616
68	45	615
69	46	613
70	46	612
71	47	611
72	48	610
73	48	608
74	49	607
75	49	606
76	50	604
77	51	604
78	51	602
79	52	601
80	52	600
81	53	599
82	53	594
83	54	593
84	54	591
85	55	590
86	56	590
87	56	588
88	57	587
89	58	587
90	58	586
91	59	585
92	59	584
93	60	584
94	61	584
95	61	583
96	62	582
97	63	580
98	63	579
99	64	577
100	64	577
101	65	575
102	66	574
103	66	574
104	67	573
105	67	572
106	68	571
107	69	570
108	69	569
109	70	568
110	70	567
111	71	567
112	72	566
113	72	566
114	73	564
115	74	564
116	74	562
117	75	561
118	75	562
119	76	561
120	77	559
121	77	557
122	78	556
123	78	554
124	79	553
125	79	553
126	80	551
127	81	552
128	81	552
129	82	551
130	82	550
131	83	548
132	83	547
133	84	546
134	85	544
135	85	543
136	86	542
137	86	541
138	87	539
139	87	538
140	88	536
141	88	534
142	88	533
143	89	531
144	90	530
145	90	530
146	91	530
147	92	529
148	92	528
149	93	528
150	93	527
151	94	527
152	95	526
153	95	524
154	96	523
155	96	522
156	97	521
157	97	520
158	98	519
159	98	518
160	99	516
161	99	515
162	100	513
163	100	513
164	101	513
165	102	512
166	102	511
167	103	510
168	103	509
169	104	508
170	104	507
171	105	506
172	105	504
173	106	503
174	106	502
175	107	502
176	107	501
177	108	500
178	108	499
179	109	499
180	110	498
181	110	498
182	111	497
183	112	497
184	112	496
185	113	495
186	113	494
187	114	493
188	114	492
189	115	491
190	115	490
191	116	490
192	116	488
193	117	488
194	118	487
195	118	486
196	119	485
197	119	484
198	120	483
199	120	482
200	121	482
201	122	482
202	122	482
203	123	482
204	124	482
205	124	481
206	125	480
207	125	479
208	126	478
209	126	477
210	127	476
211	127	475
212	128	474
213	128	473
214	129	472
215	130	472
216	130	471
217	131	470
218	131	470
219	132	469
220	133	469
221	133	468
222	134	467
223	134	466
224	135	465
225	135	465
226	136	464
227	136	463
228	137	463
229	138	463
230	139	463
231	139	462
232	140	462
233	141	462
234	141	461
235	142	461
236	143	460
237	143	460
238	144	459
239	144	459
240	145	458
241	145	457
242	146	456
243	146	455
244	147	454
245	147	453
246	148	452
247	148	451
248	149	450
249	149	449
250	150	448
251	151	448
252	151	448
253	152	448
254	153	448
255	153	447
256	154	446
257	155	446
258	155	445
259	156	444
260	156	443
261	157	443
262	157	442
263	158	441
264	159	441
265	159	440
266	160	439
267	160	439
268	161	438
269	162	438
270	162	438
271	163	438
272	164	437
273	164	437
274	165	436
275	166	435
276	166	435
277	167	434
278	167	433
279	168	433
280	169	432
281	169	431
282	170	430
283	170	429
284	171	429
285	171	428
286	172	428
287	173	428
288	173	427
289	174	427
290	175	426
291	175	425
292	176	425
293	176	424
294	177	423
295	177	422
296	178	422
297	178	421
298	179	421
299	180	420
300	180	419
301	181	419
302	182	419
303	183	418
304	183	418
305	184	417
306	184	417
307	185	416
308	186	416
309	186	415
310	187	415
311	187	414
312	188	413
313	189	413
314	189	412
315	190	411
316	190	410
317	191	410
318	191	409
319	192	409
320	193	408
321	193	408
322	194	407
323	195	407
324	195	406
325	196	405
326	196	405
327	197	404
328	198	403
329	198	403
330	199	402
331	199	401
332	200	401
333	200	400
334	201	399
335	202	399
336	202	399
337	203	398
338	204	397
339	204	397
340	205	396
341	205	395
342	206	394
343	206	394
344	207	393
345	207	392
346	208	392
347	208	391
348	209	390
349	210	390
350	210	389
351	211	389
352	211	388
353	212	388
354	213	387
355	213	386
356	214	386
357	214	385
358	215	384
359	216	384
360	216	383
361	217	382
362	217	381
363	218	381
364	218	380
365	219	379
366	219	379
367	220	378
368	220	377
369	221	377
370	222	376
371	222	376
372	223	375
373	223	374
374	224	374
375	224	373
376	225	372
377	226	371
378	226	371
379	227	370
380	227	369
381	228	369
382	228	368
383	229	367
384	229	366
385	230	366
386	230	365
387	231	364
388	231	364
389	232	363
390	233	363
391	233	362
392	234	361
393	234	361
394	235	360
395	236	360
396	236	359
397	237	358
398	237	358
399	238	357
400	239	357
401	239	356
402	240	355
403	240	355
404	241	354
405	241	353
406	242	352
407	242	352
408	243	351
409	244	351
410	244	350
411	245	349
412	245	349
413	246	348
414	246	347
415	247	347
416	247	346
417	248	346
418	249	345
419	249	344
420	250	344
421	250	343
422	251	342
423	251	342
424	252	341
425	253	340
426	253	340
427	254	339
428	254	339
429	255	338
430	255	337
431	256	337
432	256	336
433	257	335
